Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
SHITOMASI,BRISK,0,1723,0,0,0,8.918,12.116,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
SHITOMASI,BRISK,1,1759,111,2.000,4.000,7.896,12.290,MAT_BF,SEL_NN,1630,39.277,2280.069,10.191,-0.785
SHITOMASI,BRISK,2,1820,105,2.000,4.000,7.867,12.246,MAT_BF,SEL_NN,1662,39.157,2293.065,10.520,-32.184
SHITOMASI,BRISK,3,1850,110,2.000,4.000,8.162,12.440,MAT_BF,SEL_NN,1717,38.732,2258.379,11.097,-1.330
SHITOMASI,BRISK,4,1828,114,2.000,4.000,8.445,13.043,MAT_BF,SEL_NN,1752,39.509,2272.030,11.204,-0.349
SHITOMASI,BRISK,5,1806,124,2.000,4.000,8.424,12.980,MAT_BF,SEL_NN,1729,38.900,2273.594,11.857,-1.950
SHITOMASI,BRISK,6,1877,126,2.000,4.000,9.163,13.041,MAT_BF,SEL_NN,1689,38.792,2211.887,11.174,-10.932
SHITOMASI,BRISK,7,1894,122,2.000,4.000,8.746,12.637,MAT_BF,SEL_NN,1736,39.968,2309.522,11.363,-2508.950
SHITOMASI,BRISK,8,1889,119,2.000,4.000,9.277,12.754,MAT_BF,SEL_NN,1758,38.216,2164.394,11.526,-1.599
SHITOMASI,BRISK,9,1917,107,2.000,4.000,13.419,16.130,MAT_BF,SEL_NN,1757,38.999,2206.970,12.856,20.543

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
SHITOMASI,BRIEF,0,1723,0,0.000,0.000,13.788,7.764,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
SHITOMASI,BRIEF,1,1759,96,2.000,4.000,13.795,7.820,MAT_BF,SEL_NN,1534,9.963,212.918,13.461,20.288
SHITOMASI,BRIEF,2,1820,109,2.000,4.000,14.137,8.501,MAT_BF,SEL_NN,1564,9.677,204.731,15.271,42.225
SHITOMASI,BRIEF,3,1850,115,2.000,4.000,13.304,8.270,MAT_BF,SEL_NN,1621,9.586,198.624,14.173,11.151
SHITOMASI,BRIEF,4,1828,106,2.000,4.000,13.288,8.215,MAT_BF,SEL_NN,1652,10.044,214.760,14.635,24.989
